Hidden Dim,Liczba Pacjentów,ID Pacjentów,Limit/Pacjent,Suma Próbek,Loss,Accuracy (%),ROC AUC
2,1,['100'],200,200,0.079779,80.82,0.9887
2,1,['100'],600,600,0.038507,81.05,0.9912
2,2,"['100', '101']",200,400,0.054716,80.31,0.9889
2,2,"['100', '101']",600,1200,0.052823,80.45,0.992
2,3,"['100', '101', '102']",200,600,0.091564,81.05,0.9885
2,3,"['100', '101', '102']",600,1800,0.06911,80.91,0.9932
2,5,"['100', '101', '102', '103', '104']",200,800,0.096991,80.91,0.9882
2,5,"['100', '101', '102', '103', '104']",600,2062,0.076644,80.91,0.9925
4,1,['100'],200,200,0.038846,81.24,0.9946
4,1,['100'],600,600,0.033613,81.56,0.9957
4,2,"['100', '101']",200,400,0.046569,80.36,0.9917
4,2,"['100', '101']",600,1200,0.048084,80.64,0.9955
4,3,"['100', '101', '102']",200,600,0.074402,80.22,0.9818
4,3,"['100', '101', '102']",600,1800,0.060584,80.96,0.9897
4,5,"['100', '101', '102', '103', '104']",200,800,0.079987,77.63,0.9762
4,5,"['100', '101', '102', '103', '104']",600,2062,0.06673,77.87,0.9838
